date,momentum_index,investment_value
2015-10-21,123.00882650054515,123008.82650054515
2015-10-22,123.43000015608516,123430.00015608515
2015-10-23,124.29233188291849,124292.33188291849
2015-10-26,129.7676160294674,129767.6160294674
2015-10-27,127.88810033545677,127888.10033545677
2015-10-28,128.86112216252775,128861.12216252775
2015-10-29,129.74307131662022,129743.07131662022
2015-10-30,132.93277004674786,132932.77004674787
2015-11-02,135.15139724616353,135151.3972461635
2015-11-03,134.8841740725186,134884.1740725186
2015-11-04,135.05313349567518,135053.1334956752
2015-11-05,134.87361653726768,134873.6165372677
2015-11-06,136.036713008158,136036.713008158
2015-11-09,128.97869441076674,128978.69441076674
2015-11-10,129.17560482078693,129175.60482078693
2015-11-11,129.60854924385902,129608.54924385902
2015-11-12,129.03650639517795,129036.50639517794
2015-11-13,126.41510209228417,126415.10209228417
2015-11-16,125.5445501907611,125544.5501907611
2015-11-17,124.41680533998448,124416.80533998448
2015-11-18,127.06022076104736,127060.22076104736
2015-11-19,130.25648571179684,130256.48571179683
2015-11-20,130.00286985510894,130002.86985510895
2015-11-23,128.50356008013878,128503.56008013878
2015-11-24,127.49876489295139,127498.76489295138
2015-11-25,128.14743782294642,128147.43782294642
2015-11-27,127.87731133707213,127877.31133707213
2015-11-30,128.38973570105185,128389.73570105185
2015-12-01,130.93628194105708,130936.28194105708
2015-12-02,130.6400874214236,130640.0874214236
2015-12-03,130.66364735215913,130663.64735215913
2015-12-04,132.9613299127229,132961.3299127229
2015-12-07,132.19075655379444,132190.75655379443
2015-12-08,132.58202221367003,132582.02221367002
2015-12-09,131.3158734537199,131315.8734537199
2015-12-10,131.53008006056277,131530.08006056276
2015-12-11,127.63860545858633,127638.60545858633
2015-12-14,128.10479859718166,128104.79859718165
2015-12-15,129.66895278111096,129668.95278111096
2015-12-16,131.83439673347317,131834.39673347317
2015-12-17,130.30574961006997,130305.74961006996
2015-12-18,127.83347962015776,127833.47962015776
2015-12-21,127.4343621978707,127434.3621978707
2015-12-22,128.0379490529413,128037.94905294129
2015-12-23,128.72001447885015,128720.01447885015
2015-12-24,128.19147226454155,128191.47226454155
2015-12-28,127.96198156478565,127961.98156478564
2015-12-29,129.7082360054822,129708.2360054822
2015-12-30,128.84330974316066,128843.30974316066
2015-12-31,127.19318606501399,127193.18606501399
2016-01-04,127.19318606501399,127193.18606501399
2016-01-05,129.85992527169049,129859.92527169049
2016-01-06,130.2601635208927,130260.16352089269
2016-01-07,127.06181338751277,127061.81338751277
2016-01-08,125.36877691110624,125368.77691110624
2016-01-11,124.99090473670044,124990.90473670044
2016-01-12,126.48269020156103,126482.69020156102
2016-01-13,121.32076878679595,121320.76878679595
