,date,momentum_index
594,2017-05-01,137.54662506697898
595,2017-05-02,138.2296427041698
596,2017-05-03,138.96518542810543
597,2017-05-04,140.07963339543298
598,2017-05-05,140.08992221240322
599,2017-05-08,139.9523058740372
600,2017-05-09,141.45936728689065
601,2017-05-10,138.5440909627003
602,2017-05-11,136.71216463029637
603,2017-05-12,137.59093588451185
604,2017-05-15,138.0841780367072
605,2017-05-16,139.36113327664228
606,2017-05-17,135.25976763086263
607,2017-05-18,135.92554377757088
608,2017-05-19,136.66223425449996
609,2017-05-22,137.67255165786003
610,2017-05-23,137.24174764648825
611,2017-05-24,137.7912097246741
612,2017-05-25,138.8978678477229
613,2017-05-26,138.84504953416624
614,2017-05-30,138.5583489004156
615,2017-05-31,139.44148710304754
616,2017-06-01,141.4513335042621
617,2017-06-02,141.64112929311298
618,2017-06-05,141.83330264250196
619,2017-06-06,141.7827739411714
620,2017-06-07,141.94982857873984
621,2017-06-08,143.07446208162597
622,2017-06-09,137.92832469770275
623,2017-06-12,135.91185616257056
624,2017-06-13,137.77066171136124
625,2017-06-14,136.0037082229736
626,2017-06-15,133.85922896464368
627,2017-06-16,134.3700881968762
628,2017-06-19,137.57170730907848
629,2017-06-20,136.73845087258317
630,2017-06-21,138.2856126013626
631,2017-06-22,138.7981160424651
632,2017-06-23,140.03511247184622
633,2017-06-26,139.56325658405015
634,2017-06-27,137.1973100716083
635,2017-06-28,139.81262328070866
636,2017-06-29,138.01436163958337
637,2017-06-30,138.07924516539407
638,2017-07-03,138.07924516539407
639,2017-07-05,139.75736608621972
640,2017-07-06,137.52903731795934
641,2017-07-07,139.35302593917478
642,2017-07-10,140.0111395261481
643,2017-07-11,140.67023933887157
644,2017-07-12,143.02168897237908
645,2017-07-13,142.75707694945933
646,2017-07-14,143.22501714290567
647,2017-07-17,142.44469359461183
648,2017-07-18,142.49285271955992
649,2017-07-19,144.17649347159227
650,2017-07-20,143.90770213319666
651,2017-07-21,143.4118491313453
652,2017-07-24,144.83974101263775
653,2017-07-25,144.94782271019767
654,2017-07-26,145.80504526006183
655,2017-07-27,144.60028029985165
656,2017-07-28,143.14180648870476
657,2017-07-31,142.468669377474
658,2017-08-01,142.64446727504574
659,2017-08-02,141.00328257045334
660,2017-08-03,140.42244651041017
661,2017-08-04,141.19708655963834
662,2017-08-07,141.1180781238161
663,2017-08-08,140.99424934661894
664,2017-08-09,141.10045402444496
665,2017-08-10,138.30906152288702
666,2017-08-11,138.866446365348
667,2017-08-14,140.90168294187583
668,2017-08-15,139.48622680491485
669,2017-08-16,141.42319440528507
670,2017-08-17,138.59497371067675
671,2017-08-18,137.25541969003865
672,2017-08-21,138.30264680721126
673,2017-08-22,141.4644347295822
674,2017-08-23,139.99458864784057
675,2017-08-24,140.1205391933208
676,2017-08-25,140.08559507064183
677,2017-08-28,140.6700962356389
678,2017-08-29,141.19352492472927
679,2017-08-30,144.9398627410988
680,2017-08-31,147.144051366193
681,2017-09-01,146.72241621730126
682,2017-09-05,145.9135981565236
683,2017-09-06,146.55362813212338
684,2017-09-07,147.38771364530365
685,2017-09-08,147.05647188033282
686,2017-09-11,148.16319097788698
687,2017-09-12,147.95326457392287
688,2017-09-13,147.7984717702978
689,2017-09-14,147.23850397934697
690,2017-09-15,146.85083550715035
691,2017-09-18,147.39766515677528
692,2017-09-19,148.14119405972573
693,2017-09-20,149.22231906171896
694,2017-09-21,147.9030464456472
695,2017-09-22,148.16373261739264
696,2017-09-25,146.6509338731013
697,2017-09-26,146.29349580259748
698,2017-09-27,146.5601666962448
699,2017-09-28,145.23720969404525
700,2017-09-29,146.0571933502173
701,2017-10-02,146.21568924122232
702,2017-10-03,146.64430883762395
703,2017-10-04,147.06219197249803
704,2017-10-05,148.02466541185927
705,2017-10-06,149.47686093815912
706,2017-10-09,148.49812958206624
707,2017-10-10,147.83744787535932
708,2017-10-11,148.1843242978181
709,2017-10-12,149.31287810497005
710,2017-10-13,149.7409479202948
711,2017-10-16,148.58782964225387
712,2017-10-17,149.0997810400447
713,2017-10-18,149.22355444489958
714,2017-10-19,148.90390070289322
715,2017-10-20,150.2525052468776
716,2017-10-23,148.999395480937
717,2017-10-24,150.12563459644605
718,2017-10-25,149.1335955801216
719,2017-10-26,150.19792686775716
720,2017-10-27,151.94901823597635
721,2017-10-30,150.97039003252533
722,2017-10-31,153.3455565317014
723,2017-11-01,153.0791592797896
724,2017-11-02,153.65587152425755
725,2017-11-03,154.2501122251448
726,2017-11-06,155.45847375441588
727,2017-11-07,153.75743131641963
728,2017-11-08,153.504463336717
729,2017-11-09,150.80256510873238
730,2017-11-10,152.1114763851171
731,2017-11-13,153.2364365087544
732,2017-11-14,153.8162601059886
733,2017-11-15,152.77474088201876
734,2017-11-16,155.25211788516748
735,2017-11-17,156.13343109533704
736,2017-11-20,157.42411522758545
737,2017-11-21,155.04883068420253
738,2017-11-22,158.51093426522496
739,2017-11-24,160.9370200787393
740,2017-11-27,160.97368301305372
741,2017-11-28,162.1286297435042
742,2017-11-29,158.13622687810877
743,2017-11-30,159.75281843873745
744,2017-12-01,159.8370975201165
745,2017-12-04,159.38255597454526
746,2017-12-05,160.75405553076362
747,2017-12-06,162.76558151749424
748,2017-12-07,164.586148868303
749,2017-12-08,164.20266532689502
750,2017-12-11,164.06179100606082
751,2017-12-12,163.9089386453252
752,2017-12-13,164.90560070372655
753,2017-12-14,166.114820901996
754,2017-12-15,167.50622869374152
755,2017-12-18,168.64431749281414
756,2017-12-19,166.65680565782156
757,2017-12-20,166.5527110516426
758,2017-12-21,166.47355132975747
759,2017-12-22,166.07134177460634
760,2017-12-26,166.68614827011217
761,2017-12-27,165.79051851729977
762,2017-12-28,164.8684758141188
763,2017-12-29,163.72060692852884
764,2018-01-02,163.72060692852884
765,2018-01-03,165.64162234554493
766,2018-01-04,165.1868015415199
767,2018-01-05,167.20765834365932
768,2018-01-08,169.51508268553803
769,2018-01-09,170.26214225287674
770,2018-01-10,171.25143277403885
771,2018-01-11,172.85030216972987
772,2018-01-12,175.2254751489957
773,2018-01-16,174.97132254506997
774,2018-01-17,176.93705780976958
775,2018-01-18,175.9947556598861
776,2018-01-19,177.06238866562745
777,2018-01-22,176.96780305797296
778,2018-01-23,180.0544859993867
779,2018-01-24,178.60627910575263
780,2018-01-25,178.25534964341944
781,2018-01-26,178.93182707510144
782,2018-01-29,176.12403052401643
783,2018-01-30,174.60172991464387
784,2018-01-31,174.37028815799337
785,2018-02-01,173.1363320862869
786,2018-02-02,169.70849989501602
787,2018-02-05,166.05101332885988
788,2018-02-06,169.97455776819365
789,2018-02-07,171.89649633872165
790,2018-02-08,165.1606924127116
791,2018-02-09,163.05004710037898
792,2018-02-12,167.8310268871146
793,2018-02-13,169.08502939712693
794,2018-02-14,172.50196937713352
795,2018-02-15,176.5168303101607
796,2018-02-16,177.80874765714097
797,2018-02-20,179.38331807844835
798,2018-02-21,178.320546101503
799,2018-02-22,177.52648309224185
800,2018-02-23,180.04108492859217
801,2018-02-26,180.82356838394278
802,2018-02-27,180.03732368568276
803,2018-02-28,186.39608889555322
804,2018-03-01,184.70429202086447
805,2018-03-02,186.6975015468794
806,2018-03-05,189.2251711135403
807,2018-03-06,190.72093174451834
808,2018-03-07,191.96400838263114
809,2018-03-08,192.86806893899038
810,2018-03-09,195.58256630041816
811,2018-03-12,197.54395536840835
812,2018-03-13,195.55218329473433
813,2018-03-14,200.2220743216621
814,2018-03-15,198.15142546606964
815,2018-03-16,198.3070625273375
816,2018-03-19,195.86297433183475
817,2018-03-20,195.814721463952
818,2018-03-21,197.4099130670169
819,2018-03-22,194.35709771634845
820,2018-03-23,190.8231881839776
821,2018-03-26,196.1903852785983
822,2018-03-27,191.06039421885487
823,2018-03-28,189.43004353945508
824,2018-03-29,192.48554363722505
825,2018-04-02,188.00188995802725
826,2018-04-03,190.94987961989034
827,2018-04-04,191.62718547700743
828,2018-04-05,194.37656682008773
829,2018-04-06,189.55441038343113
830,2018-04-09,191.5069977657876
831,2018-04-10,194.48117426659368
832,2018-04-11,193.17618296316013
833,2018-04-12,194.1577842527125
834,2018-04-13,193.72120312593512
835,2018-04-16,197.75189332784282
836,2018-04-17,205.66321688873137
837,2018-04-18,207.1171616703026
838,2018-04-19,205.2375794538669
839,2018-04-20,202.6074848866058
840,2018-04-23,202.90615787639
841,2018-04-24,195.9905566334824
842,2018-04-25,196.74431344644796
843,2018-04-26,198.6919759588209
844,2018-04-27,199.82187655772407
845,2018-04-30,200.60903221151605
846,2018-05-01,201.45981637449205
847,2018-05-02,200.8541778830708
848,2018-05-03,201.0020636782797
849,2018-05-04,202.8627388253444
850,2018-05-07,204.59530852790311
851,2018-05-08,202.61531965494936
852,2018-05-09,204.98241334803274
853,2018-05-10,201.72516998399385
854,2018-05-11,201.08697640071438
855,2018-05-14,199.28673760041184
856,2018-05-15,198.55785419578564
857,2018-05-16,199.18693545515214
858,2018-05-17,199.91766173107428
859,2018-05-18,199.98884917029648
860,2018-05-21,200.32763710603058
861,2018-05-22,200.34314889302348
862,2018-05-23,201.1974048291834
863,2018-05-24,201.28278197893528
864,2018-05-25,202.5429034589156
865,2018-05-29,202.6786903705091
866,2018-05-30,205.64813771893986
867,2018-05-31,206.68983064671843
868,2018-06-01,208.8818892982817
869,2018-06-04,211.50516574984212
870,2018-06-05,214.6037397426765
871,2018-06-06,217.52045426308038
872,2018-06-07,216.54186705385803
873,2018-06-08,218.3601160877556
874,2018-06-11,218.68837287965374
875,2018-06-12,221.1685465458945
876,2018-06-13,218.50895271472123
877,2018-06-14,222.2148777771383
878,2018-06-15,224.9259891908658
879,2018-06-18,227.28259981791297
880,2018-06-19,226.55669573447582
881,2018-06-20,225.22543348137242
882,2018-06-21,221.90437429113214
883,2018-06-22,221.02658568421765
884,2018-06-25,213.85336187127498
885,2018-06-26,214.92290674332497
886,2018-06-27,210.77672466163082
887,2018-06-28,213.50376346270087
888,2018-06-29,214.0017738008092
889,2018-07-02,214.0017738008092
890,2018-07-03,213.5280024131475
891,2018-07-05,213.84536703611408
892,2018-07-06,217.11336675128112
893,2018-07-09,216.77203089550318
894,2018-07-10,217.11440579577513
895,2018-07-11,218.08165064661495
896,2018-07-12,222.45050317629375
897,2018-07-13,221.61028623136812
898,2018-07-16,220.61242024365924
899,2018-07-17,222.6669653417373
900,2018-07-18,223.6986087378674
901,2018-07-19,220.92518402430466
902,2018-07-20,220.4237899737435
903,2018-07-23,221.48161305543775
904,2018-07-24,218.87684882697914
905,2018-07-25,221.61527697658718
906,2018-07-26,220.55644519281483
907,2018-07-27,215.87817334679897
908,2018-07-30,208.42717788027585
909,2018-07-31,209.37861834001825
910,2018-08-01,210.41909516354008
911,2018-08-02,213.0747631478311
912,2018-08-03,211.37406801247332
913,2018-08-06,214.27973436055117
914,2018-08-07,216.51929933331186
