Period Start,Period End,Stock,Weight (%)
2024-07-01,2024-12-31,TCOM,13.359383680518356
2024-07-01,2024-12-31,RDDT,9.669189330086708
2024-07-01,2024-12-31,PINS,6.202145560157246
2024-07-01,2024-12-31,DUOL,4.456858784884879
2024-07-01,2024-12-31,CHWY,4.34956553608797
2024-07-01,2024-12-31,MMYT,3.555718116827055
2024-07-01,2024-12-31,WIX,3.440916854247618
2024-07-01,2024-12-31,BILL,2.757477415686843
2024-07-01,2024-12-31,ETSY,1.7931586203783298
2024-07-01,2024-12-31,BOX,1.34680255407416
2024-07-01,2024-12-31,BKE,0.6677001337586432
2024-07-01,2024-12-31,RVLV,0.6070484367027809
2024-07-01,2024-12-31,TTGT,0.34351672398842015
2024-07-01,2024-12-31,WEAV,0.32657876071090547
2024-07-01,2024-12-31,REAL,0.27814413628199314
2024-07-01,2024-12-31,FLWS,0.13631937699473198
2024-07-01,2024-12-31,LOVE,0.10791827021183538
2024-07-01,2024-12-31,BARK,0.09181408287452683
2024-07-01,2024-12-31,AEYE,0.06390273154457313
2024-07-01,2024-12-31,NEGG,0.04702772973999789
2024-07-01,2024-12-31,DIBS,0.03971623206997858
2024-07-01,2024-12-31,FPAY,0.009131796246393703
