date,adjusted,normalized
2015-05-05,4939.330078125,104.4960558367449
2015-05-06,4919.64013671875,104.07949707592795
2015-05-07,4945.5400390625,104.62743325323767
2015-05-08,5003.5498046875,105.85468302434987
2015-05-11,4993.56982421875,105.64354738858202
2015-05-12,4976.18994140625,105.27586003501676
2015-05-13,4981.68994140625,105.39221757703392
2015-05-14,5050.7998046875,106.85430008986098
2015-05-15,5048.2900390625,106.8012036972857
2015-05-18,5078.43994140625,107.43905252069959
2015-05-19,5070.02978515625,107.26112795538498
2015-05-20,5071.740234375,107.29731407662841
2015-05-21,5090.7900390625,107.70033015832745
2015-05-22,5089.35986328125,107.6700734785895
2015-05-26,5032.75,106.47243992489237
2015-05-27,5106.58984375,108.0345895106527
2015-05-28,5097.97998046875,107.85243996001451
2015-05-29,5070.02978515625,107.26112795538498
2015-06-01,5082.93017578125,107.53404754523703
2015-06-02,5076.52001953125,107.39843481338323
2015-06-03,5099.22998046875,107.8788848559275
2015-06-04,5059.1201171875,107.03032392828185
2015-06-05,5068.4599609375,107.22791688493174
2015-06-08,5021.6298828125,106.23718365164139
2015-06-09,5013.8701171875,106.07301869623151
2015-06-10,5076.68994140625,107.40202966642141
2015-06-11,5082.509765625,107.52515338297881
2015-06-12,5051.10009765625,106.8606530629026
2015-06-15,5029.97021484375,106.41363102159835
2015-06-16,5055.5498046875,106.95479069433036
2015-06-17,5064.8798828125,107.15217705023095
2015-06-18,5132.9501953125,108.59226691329286
2015-06-19,5117.0,108.25482590942809
2015-06-22,5153.97021484375,109.03696469616726
2015-06-23,5160.08984375,109.16643105572878
2015-06-24,5122.41015625,108.36928272455151
2015-06-25,5112.18994140625,108.1530647103504
2015-06-26,5080.509765625,107.48284154951801
2015-06-29,4958.47021484375,104.90098297537516
2015-06-30,4986.8701171875,105.50180894451087
2015-07-01,5013.1201171875,106.05715175868372
2015-07-02,5009.2099609375,105.97442881865588
2015-07-06,4991.93994140625,105.60906572352047
2015-07-07,4997.4599609375,105.72584679707376
2015-07-08,4909.759765625,103.87046876780317
2015-07-09,4922.39990234375,104.13788244768585
2015-07-10,4997.7001953125,105.73092917550701
2015-07-13,5071.509765625,107.29243829894446
2015-07-14,5104.89013671875,107.9986306502335
2015-07-15,5098.93994140625,107.87274881367269
2015-07-16,5163.18017578125,109.2318098628512
2015-07-17,5210.14013671875,110.2252908861075
2015-07-20,5218.85986328125,110.40976469517558
2015-07-21,5208.1201171875,110.18255552111063
2015-07-22,5171.77001953125,109.41353588195328
2015-07-23,5146.41015625,108.87702472608099
2015-07-24,5088.6298828125,107.6546300725778
2015-07-27,5039.77978515625,106.62116147429055
2015-07-28,5089.2099609375,107.66690215708743
2015-07-29,5111.72998046875,108.1433338150574
2015-07-30,5128.77978515625,108.50403806329565
2015-07-31,5128.27978515625,108.49346010493046
2015-08-03,5115.3798828125,108.22055084511587
2015-08-04,5105.5498046875,108.01258653085009
2015-08-05,5139.93994140625,108.74014139961885
2015-08-06,5056.43994140625,106.9736223526309
2015-08-07,5043.5400390625,106.70071309281633
2015-08-10,5101.7998046875,107.93325184311111
2015-08-11,5036.7900390625,106.55791065488616
2015-08-12,5044.39013671875,106.71869768804466
2015-08-13,5033.56005859375,106.48957745704848
2015-08-14,5048.240234375,106.80015003346415
2015-08-17,5091.7001953125,107.7195853481641
2015-08-18,5059.35009765625,107.03518937592835
2015-08-19,5019.0498046875,106.18259973367097
2015-08-20,4877.490234375,103.18777725174932
2015-08-21,4706.0400390625,99.56059119630821
2015-08-24,4526.25,95.7569681009476
2015-08-25,4506.490234375,95.338932144773
2015-08-26,4697.5400390625,99.38076590409986
2015-08-27,4812.7099609375,101.81729118113338
2015-08-28,4828.31982421875,102.14753214888435
2015-08-31,4776.509765625,101.05144286347812
2015-09-01,4636.10009765625,98.08094761978893
2015-09-02,4749.97998046875,100.49018093783724
2015-09-03,4733.5,100.14153184332184
2015-09-04,4683.919921875,99.0926198390229
2015-09-08,4811.93017578125,101.80079411130016
2015-09-09,4756.52978515625,100.62874806040634
2015-09-10,4796.25,101.4690656181541
2015-09-11,4822.33984375,102.0210201800381
2015-09-14,4805.759765625,101.67025342784216
2015-09-15,4860.52001953125,102.82875679961802
2015-09-16,4889.240234375,103.43635927333146
2015-09-17,4893.9501953125,103.53600281472862
2015-09-18,4827.22998046875,102.12447550526021
2015-09-21,4828.9501953125,102.16086822725296
2015-09-22,4756.72021484375,100.6327767750181
2015-09-23,4752.740234375,100.54857663963261
2015-09-24,4734.47998046875,100.16226422851614
2015-09-25,4686.5,99.1472037569933
2015-09-28,4543.97021484375,96.13185549062668
2015-09-29,4517.31982421875,95.56804204573169
2015-09-30,4620.16015625,97.74372354671094
2015-10-01,4627.080078125,97.89012083767926
2015-10-02,4707.77978515625,99.59739711979961
2015-10-05,4781.259765625,101.15193346794749
2015-10-06,4748.35986328125,100.45590587352503
2015-10-07,4791.14990234375,101.36116837682158
2015-10-08,4810.7900390625,101.77667347381703
2015-10-09,4830.47021484375,102.19302563388469
2015-10-12,4838.64013671875,102.365867820766
2015-10-13,4796.60986328125,101.47667885576655
2015-10-14,4782.85009765625,101.1855783999743
2015-10-15,4870.10009765625,103.0314321347012
2015-10-16,4886.68994140625,103.38240548764645
2015-10-19,4905.47021484375,103.77971938866426
2015-10-20,4880.97021484375,103.2613994287696
2015-10-21,4840.1201171875,102.39717816432548
2015-10-22,4920.0498046875,104.08816397736193
2015-10-23,5031.85986328125,106.45360826659183
2015-10-26,5034.7001953125,106.51369809453162
2015-10-27,5030.14990234375,106.41743247538584
2015-10-28,5095.68994140625,107.8039920842989
2015-10-29,5074.27001953125,107.35083400073984
2015-10-30,5053.75,106.91671417623066
2015-11-02,5127.14990234375,108.4695563982341
2015-11-03,5145.1298828125,108.84993936784508
2015-11-04,5142.47998046875,108.79387825451705
2015-11-05,5127.740234375,108.4820454135305
2015-11-06,5147.1201171875,108.89204460055657
2015-11-09,5095.2998046875,107.79573838436353
2015-11-10,5083.240234375,107.54060711902795
2015-11-11,5067.02001953125,107.19745360444448
2015-11-12,5005.080078125,105.88705736176836
2015-11-13,4927.8798828125,104.25381645816691
2015-11-16,4984.6201171875,105.45420813186747
2015-11-17,4986.02001953125,105.48382434928254
2015-11-18,5075.2001953125,107.3705127221126
2015-11-19,5073.64013671875,107.33750825240868
2015-11-20,5104.919921875,107.99926078251893
2015-11-23,5102.47998046875,107.94764158530126
2015-11-24,5102.81005859375,107.9546246906283
2015-11-25,5116.14013671875,108.23663471345044
2015-11-27,5127.52001953125,108.47738656663336
2015-11-30,5108.669921875,108.07859547025791
2015-12-01,5156.31005859375,109.08646623570439
2015-12-02,5123.22021484375,108.38642025670764
2015-12-03,5037.52978515625,106.57356066164716
2015-12-04,5142.27001953125,108.78943633840666
2015-12-07,5101.81005859375,107.93346877389789
2015-12-08,5098.240234375,107.85794586998388
2015-12-09,5022.8701171875,106.26342194680505
2015-12-10,5045.169921875,106.73519475787788
2015-12-11,4933.47021484375,104.3720850571153
2015-12-14,4952.22998046875,104.76896509655951
2015-12-15,4995.35986328125,105.68141730593243
2015-12-16,5071.1298828125,107.2844015297959
2015-12-17,5002.5498046875,105.83352710761946
2015-12-18,4923.080078125,104.15227218987602
2015-12-21,4968.919921875,105.1220561071853
2015-12-22,5001.10986328125,105.8030638271322
2015-12-23,5045.93017578125,106.75127862621245
2015-12-24,5048.490234375,106.80543901264676
2015-12-28,5040.990234375,106.64676963716879
2015-12-29,5107.93994140625,108.06315206424621
2015-12-30,5065.85009765625,107.1727028346759
2015-12-31,5007.41015625,105.93635230055615
2016-01-04,4903.08984375,103.72936045601745
2016-01-05,4891.43017578125,103.48268949136651
2016-01-06,4835.759765625,102.304930929754
2016-01-07,4689.43017578125,99.20919431182685
2016-01-08,4643.6298828125,98.24024712755231
2016-01-11,4637.990234375,98.12093519481986
2016-01-12,4685.919921875,99.13493167248369
2016-01-13,4526.06005859375,95.75294971637332
2016-01-14,4615.0,97.63455571077012
2016-01-15,4488.419921875,94.9566381182308
2016-01-19,4476.9501953125,94.71398553815415
2016-01-20,4471.68994140625,94.6027000445328
2016-01-21,4472.06005859375,94.61053021293203
2016-01-22,4591.18017578125,97.13062549306561
2016-01-25,4518.490234375,95.59280314553773
2016-01-26,4567.669921875,96.63324451911454
2016-01-27,4468.169921875,94.52823080444031
2016-01-28,4506.68017578125,95.34295052934726
2016-01-29,4613.9501953125,97.61234613021817
2016-02-01,4620.3701171875,97.74816546282132
2016-02-02,4516.9501953125,95.56022220736993
2016-02-03,4504.240234375,95.29133133212962
2016-02-04,4509.56005859375,95.40387709032181
2016-02-05,4363.14013671875,92.30622941546346
2016-02-08,4283.75,90.62665829382696
2016-02-09,4268.759765625,90.30952614362036
2016-02-10,4283.58984375,90.62327004153812
2016-02-11,4266.83984375,90.268908436304
2016-02-12,4337.509765625,91.76399541883498
2016-02-16,4435.9599609375,93.8467995529573
2016-02-17,4534.06005859375,95.92219705021648
2016-02-18,4487.5400390625,94.93802339071703
2016-02-19,4504.43017578125,95.2953497167039
2016-02-22,4570.60986328125,96.6954416746974
2016-02-23,4503.580078125,95.27736512147555
2016-02-24,4542.60986328125,96.10307600624637
2016-02-25,4582.2001953125,96.94064577402816
2016-02-26,4590.47021484375,97.11560561859002
2016-02-29,4557.9501953125,96.4276147933161
2016-03-01,4689.60009765625,99.21278916486503
2016-03-02,4703.419921875,99.50516021526559
2016-03-03,4707.419921875,99.58978388218716
2016-03-04,4717.02001953125,99.79288274880645
2016-03-07,4708.25,99.60734494587939
2016-03-08,4648.81982421875,98.35004509577855
2016-03-09,4674.3798828125,98.89079156701193
2016-03-10,4662.16015625,98.6322720493875
2016-03-11,4748.47021484375,100.45824046199232
2016-03-14,4750.27978515625,100.49652358084138
2016-03-15,4728.669921875,100.03934711270803
2016-03-16,4763.97021484375,100.78615717131345
2016-03-17,4774.990234375,101.01929578688389
2016-03-18,4795.64990234375,101.45637000210837
2016-03-21,4808.8701171875,101.73605576650067
2016-03-22,4821.66015625,102.00664076788539
2016-03-23,4768.85986328125,100.8896021664981
2016-03-24,4773.5,100.98776851253761
2016-03-28,4766.7900390625,100.84581313767967
2016-03-29,4846.6201171875,102.53469162307304
2016-03-30,4869.2900390625,103.01429460254509
2016-03-31,4869.85009765625,103.02614315551861
2016-04-01,4914.5400390625,103.97159983459542
2016-04-04,4891.7998046875,103.4905093297283
2016-04-05,4843.93017578125,102.47778344667277
2016-04-06,4920.72021484375,104.10234711880277
2016-04-07,4848.3701171875,102.57171447735122
2016-04-08,4850.68994140625,102.62079248535227
2016-04-11,4833.39990234375,102.25500585868075
2016-04-12,4872.08984375,103.0735270373752
2016-04-13,4947.419921875,104.66720389748181
2016-04-14,4945.89013671875,104.6348398901008
2016-04-15,4938.22021484375,104.47257566158467
2016-04-18,4960.02001953125,104.93377051429226
2016-04-19,4940.330078125,104.51721175347531
2016-04-20,4948.1298828125,104.6822237719574
2016-04-21,4945.89013671875,104.6348398901008
2016-04-22,4906.22998046875,103.79579292696137
2016-04-25,4895.7900390625,103.57492639590053
2016-04-26,4888.27978515625,103.41604008963581
2016-04-27,4863.14013671875,102.88418778066067
2016-04-28,4805.2900390625,101.66031593179984
2016-04-29,4775.35986328125,101.02711562524567
2016-05-02,4817.58984375,101.92052957556872
2016-05-03,4763.22021484375,100.77029023376565
2016-05-04,4725.64013671875,99.97524923023143
2016-05-05,4717.08984375,99.79435994416409
2016-05-06,4736.16015625,100.19780988743668
2016-05-09,4750.2099609375,100.49504638548375
2016-05-10,4809.8798828125,101.75741828398037
2016-05-11,4760.68994140625,100.71675997961678
2016-05-12,4737.330078125,100.22256065720525
2016-05-13,4717.68017578125,99.8068489594605
2016-05-16,4775.4599609375,101.02923328292619
2016-05-17,4715.72998046875,99.76559078982123
2016-05-18,4739.1201171875,100.26043057455564
2016-05-19,4712.52978515625,99.69788772426898
2016-05-20,4769.56005859375,100.90441544022437
2016-05-23,4765.77978515625,100.82444029016249
2016-05-24,4861.06005859375,102.84018182105545
2016-05-25,4894.89013671875,103.55588813685068
2016-05-26,4901.77001953125,103.7014383647468
2016-05-27,4933.5,104.37271518940072
2016-05-31,4948.0498046875,104.68052964581298
2016-06-01,4952.25,104.76938862809561
2016-06-02,4971.35986328125,105.17367530440296
2016-06-03,4942.52001953125,104.56354197151039
2016-06-06,4968.7099609375,105.1176141910749
2016-06-07,4961.75,104.97036983703435
2016-06-08,4974.64013671875,105.24307249609963
2016-06-09,4958.6201171875,104.90415429687722
2016-06-10,4894.5498046875,103.54868810073687
2016-06-13,4848.43994140625,102.57319167270889
2016-06-14,4843.5498046875,102.46973634748674
2016-06-15,4834.93017578125,102.28738019609924
2016-06-16,4844.919921875,102.49872243261639
2016-06-17,4800.33984375,101.55559001196941
2016-06-20,4837.2099609375,102.33561114102805
2016-06-21,4843.759765625,102.47417826359715
2016-06-22,4833.31982421875,102.25331173253632
2016-06-23,4910.0400390625,103.87639820930868
2016-06-24,4707.97998046875,99.60163243516068
2016-06-27,4594.43994140625,97.1995888231887
2016-06-28,4691.8701171875,99.26081350904452
2016-06-29,4779.25,101.10941503373738
2016-06-30,4842.669921875,102.45112161997301
2016-07-01,4862.56982421875,102.87212229690034
2016-07-05,4822.89990234375,102.03286873301161
2016-07-06,4859.16015625,102.79998764527518
2016-07-07,4876.81005859375,103.17338750955915
2016-07-08,4956.759765625,104.8647968541317
2016-07-11,4988.64013671875,105.53925533032515
2016-07-12,5022.81982421875,106.26235795294605
2016-07-13,5005.72998046875,105.90080664163561
2016-07-14,5034.06005859375,106.50015541541367
2016-07-15,5029.58984375,106.40558392241233
2016-07-18,5055.77978515625,106.95965614197686
2016-07-19,5036.3701171875,106.54902682266538
2016-07-20,5089.93017578125,107.6821389623498
2016-07-21,5073.89990234375,107.34300383234059
2016-07-22,5100.16015625,107.89856357730024
2016-07-25,5097.6298828125,107.84503332315137
2016-07-26,5110.0498046875,108.10778815613686
2016-07-27,5139.81005859375,108.73739360965288
2016-07-28,5154.97998046875,109.05832721364696
2016-07-29,5162.1298828125,109.2095899522618
2016-08-01,5184.2001953125,109.67650764572558
2016-08-02,5137.72998046875,108.69338765004765
2016-08-03,5159.740234375,109.15903474890314
2016-08-04,5166.25,109.29675480840002
2016-08-05,5221.1201171875,110.45758243860575
2016-08-08,5213.14013671875,110.2887586362987
2016-08-09,5225.47998046875,110.54981934313976
2016-08-10,5204.580078125,110.10766274948203
2016-08-11,5228.39990234375,110.61159296718652
2016-08-12,5232.89013671875,110.70658799172399
2016-08-15,5262.02001953125,111.32285736687138
2016-08-16,5227.10986328125,110.58430100820134
2016-08-17,5228.66015625,110.61709887715591
2016-08-18,5240.14990234375,110.86017498876866
2016-08-19,5238.3798828125,110.82272860295437
2016-08-22,5244.60009765625,110.9543229502339
2016-08-23,5260.080078125,111.2818161280189
2016-08-24,5217.68994140625,110.38501392540701
2016-08-25,5212.2001953125,110.26887331417663
2016-08-26,5218.919921875,110.41103528978388
2016-08-29,5232.330078125,110.69473943875047
2016-08-30,5222.990234375,110.49714648210059
2016-08-31,5213.22021484375,110.29045276244311
2016-09-01,5227.2099609375,110.58641866588187
2016-09-02,5249.89990234375,111.06644517689001
2016-09-06,5275.91015625,111.61671594266704
2016-09-07,5283.93017578125,111.78638680804632
