date,momentum_index
2015-09-30,110.86203146218439
2015-10-01,112.18757389813598
2015-10-02,114.87402805425124
2015-10-05,116.70944608709102
2015-10-06,116.26799260284692
2015-10-07,117.75909701076168
2015-10-08,117.9615600180819
2015-10-09,119.14955873142267
2015-10-12,120.6753238111216
2015-10-13,120.38274584971728
2015-10-14,118.34396693163974
2015-10-15,120.63538938167054
2015-10-16,122.22362710154964
2015-10-19,124.35980382103374
2015-10-20,124.59361307646685
2015-10-21,123.00882650054515
2015-10-22,123.43000015608516
2015-10-23,124.29233188291849
2015-10-26,129.7676160294674
2015-10-27,127.88810033545677
2015-10-28,128.86112216252775
2015-10-29,129.74307131662022
2015-10-30,132.93277004674786
2015-11-02,135.15139724616353
2015-11-03,134.8841740725186
2015-11-04,135.05313349567518
2015-11-05,134.87361653726768
2015-11-06,136.036713008158
2015-11-09,128.97869441076674
2015-11-10,129.17560482078693
2015-11-11,129.60854924385902
2015-11-12,129.03650639517795
2015-11-13,126.41510209228417
2015-11-16,125.5445501907611
2015-11-17,124.41680533998448
2015-11-18,127.06022076104736
2015-11-19,130.25648571179684
2015-11-20,130.00286985510894
2015-11-23,128.50356008013878
2015-11-24,127.49876489295139
2015-11-25,128.14743782294642
2015-11-27,127.87731133707213
2015-11-30,128.38973570105185
2015-12-01,130.93628194105708
2015-12-02,130.6400874214236
2015-12-03,130.66364735215913
2015-12-04,132.9613299127229
2015-12-07,132.19075655379444
2015-12-08,132.58202221367003
2015-12-09,131.3158734537199
2015-12-10,131.53008006056277
2015-12-11,127.63860545858633
2015-12-14,128.10479859718166
2015-12-15,129.66895278111096
2015-12-16,131.83439673347317
2015-12-17,130.30574961006997
2015-12-18,127.83347962015776
2015-12-21,127.4343621978707
2015-12-22,128.0379490529413
2015-12-23,128.72001447885015
2015-12-24,128.19147226454155
2015-12-28,127.96198156478565
2015-12-29,129.7082360054822
2015-12-30,128.84330974316066
2015-12-31,127.19318606501399
2016-01-04,127.19318606501399
2016-01-05,129.85992527169049
2016-01-06,130.2601635208927
2016-01-07,127.06181338751277
2016-01-08,125.36877691110624
2016-01-11,124.99090473670044
2016-01-12,126.48269020156103
2016-01-13,121.32076878679595
2016-01-14,124.47865894620297
2016-01-15,120.57649280202389
2016-01-19,119.76430017414144
2016-01-20,121.42139835014594
2016-01-21,121.8215194748588
2016-01-22,124.11971086214409
2016-01-25,122.07163838933192
2016-01-26,122.98659180729064
2016-01-27,120.24036723243621
2016-01-28,121.25760479840201
2016-01-29,125.83441124361511
2016-02-01,126.09081687071757
2016-02-02,122.48768893526358
2016-02-03,123.90696530140117
2016-02-04,125.61064341986108
2016-02-05,119.07072981780894
2016-02-08,115.92208342650305
2016-02-09,114.21561860922385
2016-02-10,115.69007116732307
2016-02-11,116.14744937069453
2016-02-12,120.33498460236748
2016-02-16,123.55521425477706
2016-02-17,127.4373796094469
2016-02-18,125.16373229852415
2016-02-19,126.612252059577
2016-02-22,128.07728254275992
2016-02-23,126.31582513521204
